guuid	mlst
00077730-0fe4-454a-b554-b23c9f51a808	550
00fbeece-3ed6-4f06-9022-99230eec44eb	-
00decd65-8e22-4c8b-94ae-6d5791fa6310	58
00f9ff36-dcc6-453b-be28-04a53e482160	155
0013e2ce-394b-4fc5-a356-abadd635fa00	1724
004cbc2c-c27e-4fc6-9270-51aa17125e01	155
007d12b9-f903-446a-9d66-184fb751cae9	131
00c42c76-25b6-47ce-afb5-45d18a118d9d	2619
00a5972b-ab4a-4e42-9e8c-334c11a9a35e	12
00a1ae96-7fff-4cd2-b5ba-ddfb87b4943f	12
00c68bd7-0b00-4124-9081-3e700f8cdcf4	144
00734a71-979c-4518-bec7-9cb9e2ad164a	73
000774a6-5784-466e-8cb7-caa111dcafc5	131
00a6bb9a-799b-43d6-823a-4651c0452a2f	73
00e99f5e-902c-4842-b464-4cdaa4f98fbb	1193
004b50ed-f91a-4330-84aa-1f4e7d624b61	144
00104c81-2985-4943-9502-9143a1eee412	537
0055f81e-2eac-46d9-a3b8-069d8eafe872	12
01188b97-1bf2-4496-b1cc-c555c46d983e	58
00b1a774-c7ac-40c5-a978-b1127de18529	1057
01267a91-ecc4-4c8a-a7d0-5d3845858d92	73
013cc60d-cf3b-4c62-885b-736339cac567	131
017d25a4-a6ad-4826-9f65-e7a74b1c95cf	95
017afe18-d9bd-43d3-bbff-23dd548792d7	1858
01822ce6-6d77-435b-944a-3b45418c034d	131
01901f28-93c3-44ab-a176-539ae8cefcaa	73
018c6588-369f-4255-94ff-8bd39097e8d5	38
014b68b8-c04b-41a7-92ea-5e323ef8cdf0	95
01d34baf-18a8-4195-9931-68b6c4053b22	409
01dfd4d8-42df-4370-8d24-eaf99e12df22	131
01e2e374-6a95-44ed-9ff4-186e343197a1	442
01b94355-c95d-40e9-8853-27d8a5971e15	12
01d87d2d-4c54-4201-a82a-b9510936c3e9	538
0233ca07-2f55-4d5c-9187-8af851e62dcb	131
0197f047-b777-4d40-81dd-e8f03f3aad47	95
01ebf48a-dfae-4f34-8601-414bdd9d64d4	746
0240c711-0a61-4183-b31d-5309ad54e969	131
0152fff8-5a8e-4031-8634-81b08a4b5c85	12
024d720b-7bf8-4524-bdd6-e9033cb3e91e	69
0262b07d-945e-41e5-81ed-6efc8ffca6b9	73
02745057-7b57-442c-88d1-c4eab6209542	23
02cb1371-8085-46c0-af8d-075dacbdd5a9	10
02c5f878-2e1c-4c6b-9083-da0c252f82f0	95
02f7df04-03d7-4300-8748-6edb30cf2f5c	88
033ecbc4-0ff4-4196-9a7f-b5c8d7f55a57	73
02bd8907-b922-442a-ba82-dfe722f0ede5	95
03485d1b-abb5-46e2-925a-7ce11061405d	131
034e77f6-e525-42a6-a3fe-c86854b0622f	38
028c89e4-3429-4fc0-86c1-f706b6788e48	416
0365290b-9fcc-4ade-9762-4fe563199bb7	90
