gene	depth	guuid
1	89	000774a6-5784-466e-8cb7-caa111dcafc5
2'-phosphotransferase	54	000774a6-5784-466e-8cb7-caa111dcafc5
AAC(3)-IId	76	000774a6-5784-466e-8cb7-caa111dcafc5
AadA2	80	000774a6-5784-466e-8cb7-caa111dcafc5
DfrA12	70	000774a6-5784-466e-8cb7-caa111dcafc5
GlpT	63	000774a6-5784-466e-8cb7-caa111dcafc5
GyrA	64	000774a6-5784-466e-8cb7-caa111dcafc5
O-acetyltransferase	91	000774a6-5784-466e-8cb7-caa111dcafc5
ParE	80	000774a6-5784-466e-8cb7-caa111dcafc5
PmrB	83	000774a6-5784-466e-8cb7-caa111dcafc5
PtsI	75	000774a6-5784-466e-8cb7-caa111dcafc5
Sul1	80	000774a6-5784-466e-8cb7-caa111dcafc5
TEM-1	92	000774a6-5784-466e-8cb7-caa111dcafc5
UhpT	101	000774a6-5784-466e-8cb7-caa111dcafc5
GlpT	45	00077730-0fe4-454a-b554-b23c9f51a808
GyrA	51	00077730-0fe4-454a-b554-b23c9f51a808
MarR	43	00077730-0fe4-454a-b554-b23c9f51a808
PmrB	64	00077730-0fe4-454a-b554-b23c9f51a808
UhpT	64	00077730-0fe4-454a-b554-b23c9f51a808
APH(3'')-Ib	1435	00104c81-2985-4943-9502-9143a1eee412
APH(3')-Ia	1491	00104c81-2985-4943-9502-9143a1eee412
APH(6)-Id	1212	00104c81-2985-4943-9502-9143a1eee412
GlpT	138	00104c81-2985-4943-9502-9143a1eee412
MarR	111	00104c81-2985-4943-9502-9143a1eee412
O-acetyltransferase	181	00104c81-2985-4943-9502-9143a1eee412
PmrB	152	00104c81-2985-4943-9502-9143a1eee412
Sul2	1183	00104c81-2985-4943-9502-9143a1eee412
TEM-1	1269	00104c81-2985-4943-9502-9143a1eee412
Tet(A)	116	00104c81-2985-4943-9502-9143a1eee412
GlpT	97	0013e2ce-394b-4fc5-a356-abadd635fa00
PmrB	106	0013e2ce-394b-4fc5-a356-abadd635fa00
GlpT	74	004b50ed-f91a-4330-84aa-1f4e7d624b61
PmrB	82	004b50ed-f91a-4330-84aa-1f4e7d624b61
UhpT	98	004b50ed-f91a-4330-84aa-1f4e7d624b61
AadA1	457	004cbc2c-c27e-4fc6-9270-51aa17125e01
DfrA1	426	004cbc2c-c27e-4fc6-9270-51aa17125e01
GlpT	67	004cbc2c-c27e-4fc6-9270-51aa17125e01
PmrB	69	004cbc2c-c27e-4fc6-9270-51aa17125e01
Sat2	509	004cbc2c-c27e-4fc6-9270-51aa17125e01
APH(3'')-Ib	148	0055f81e-2eac-46d9-a3b8-069d8eafe872
APH(6)-Id	128	0055f81e-2eac-46d9-a3b8-069d8eafe872
GlpT	75	0055f81e-2eac-46d9-a3b8-069d8eafe872
PmrB	102	0055f81e-2eac-46d9-a3b8-069d8eafe872
Sul2	124	0055f81e-2eac-46d9-a3b8-069d8eafe872
TEM-1	138	0055f81e-2eac-46d9-a3b8-069d8eafe872
1	69	00734a71-979c-4518-bec7-9cb9e2ad164a
APH(3'')-Ib	56	00734a71-979c-4518-bec7-9cb9e2ad164a
APH(6)-Id	63	00734a71-979c-4518-bec7-9cb9e2ad164a
AadA1	79	00734a71-979c-4518-bec7-9cb9e2ad164a
DfrA1	90	00734a71-979c-4518-bec7-9cb9e2ad164a
GlpT	41	00734a71-979c-4518-bec7-9cb9e2ad164a
PmrB	40	00734a71-979c-4518-bec7-9cb9e2ad164a
Sul1	57	00734a71-979c-4518-bec7-9cb9e2ad164a
Sul2	63	00734a71-979c-4518-bec7-9cb9e2ad164a
TEM-1	66	00734a71-979c-4518-bec7-9cb9e2ad164a
Tet(B)	126	00734a71-979c-4518-bec7-9cb9e2ad164a
1	86	007d12b9-f903-446a-9d66-184fb751cae9
APH(3'')-Ib	74	007d12b9-f903-446a-9d66-184fb751cae9
APH(6)-Id	77	007d12b9-f903-446a-9d66-184fb751cae9
DfrA7	135	007d12b9-f903-446a-9d66-184fb751cae9
GlpT	54	007d12b9-f903-446a-9d66-184fb751cae9
O-acetyltransferase	107	007d12b9-f903-446a-9d66-184fb751cae9
ParE	71	007d12b9-f903-446a-9d66-184fb751cae9
PmrB	64	007d12b9-f903-446a-9d66-184fb751cae9
PtsI	71	007d12b9-f903-446a-9d66-184fb751cae9
Sul1	45	007d12b9-f903-446a-9d66-184fb751cae9
Sul2	63	007d12b9-f903-446a-9d66-184fb751cae9
TEM-1	109	007d12b9-f903-446a-9d66-184fb751cae9
Tet(B)	118	007d12b9-f903-446a-9d66-184fb751cae9
UhpT	79	007d12b9-f903-446a-9d66-184fb751cae9
GlpT	58	00a1ae96-7fff-4cd2-b5ba-ddfb87b4943f
PmrB	78	00a1ae96-7fff-4cd2-b5ba-ddfb87b4943f
TEM-40	65	00a1ae96-7fff-4cd2-b5ba-ddfb87b4943f
APH(3'')-Ib	23	00a5972b-ab4a-4e42-9e8c-334c11a9a35e
APH(6)-Id	25	00a5972b-ab4a-4e42-9e8c-334c11a9a35e
DfrA4	34	00a5972b-ab4a-4e42-9e8c-334c11a9a35e
GlpT	19	00a5972b-ab4a-4e42-9e8c-334c11a9a35e
GyrA	20	00a5972b-ab4a-4e42-9e8c-334c11a9a35e
O-acetyltransferase	29	00a5972b-ab4a-4e42-9e8c-334c11a9a35e
PmrB	24	00a5972b-ab4a-4e42-9e8c-334c11a9a35e
Sul2	32	00a5972b-ab4a-4e42-9e8c-334c11a9a35e
TEM-1	30	00a5972b-ab4a-4e42-9e8c-334c11a9a35e
Tet(B)	23	00a5972b-ab4a-4e42-9e8c-334c11a9a35e
2'-phosphotransferase	80	00a6bb9a-799b-43d6-823a-4651c0452a2f
DfrA14	97	00a6bb9a-799b-43d6-823a-4651c0452a2f
GlpT	53	00a6bb9a-799b-43d6-823a-4651c0452a2f
PmrB	76	00a6bb9a-799b-43d6-823a-4651c0452a2f
Tet(B)	110	00a6bb9a-799b-43d6-823a-4651c0452a2f
GlpT	64	00b1a774-c7ac-40c5-a978-b1127de18529
MarR	53	00b1a774-c7ac-40c5-a978-b1127de18529
PmrB	80	00b1a774-c7ac-40c5-a978-b1127de18529
UhpT	86	00b1a774-c7ac-40c5-a978-b1127de18529
GlpT	62	00c42c76-25b6-47ce-afb5-45d18a118d9d
MarR	50	00c42c76-25b6-47ce-afb5-45d18a118d9d
PmrB	88	00c42c76-25b6-47ce-afb5-45d18a118d9d
GlpT	85	00c68bd7-0b00-4124-9081-3e700f8cdcf4
PmrB	101	00c68bd7-0b00-4124-9081-3e700f8cdcf4
UhpT	109	00c68bd7-0b00-4124-9081-3e700f8cdcf4
APH(3'')-Ib	113	00decd65-8e22-4c8b-94ae-6d5791fa6310
APH(3')-Ia	137	00decd65-8e22-4c8b-94ae-6d5791fa6310
APH(6)-Id	113	00decd65-8e22-4c8b-94ae-6d5791fa6310
DfrA5	135	00decd65-8e22-4c8b-94ae-6d5791fa6310
GlpT	88	00decd65-8e22-4c8b-94ae-6d5791fa6310
PmrB	96	00decd65-8e22-4c8b-94ae-6d5791fa6310
Sul2	97	00decd65-8e22-4c8b-94ae-6d5791fa6310
TEM-1	114	00decd65-8e22-4c8b-94ae-6d5791fa6310
1	149	00e99f5e-902c-4842-b464-4cdaa4f98fbb
2'-phosphotransferase	127	00e99f5e-902c-4842-b464-4cdaa4f98fbb
AAC(3)-IId	138	00e99f5e-902c-4842-b464-4cdaa4f98fbb
APH(3'')-Ib	135	00e99f5e-902c-4842-b464-4cdaa4f98fbb
APH(6)-Id	153	00e99f5e-902c-4842-b464-4cdaa4f98fbb
AadA5	145	00e99f5e-902c-4842-b464-4cdaa4f98fbb
CTX-M-15	208	00e99f5e-902c-4842-b464-4cdaa4f98fbb
DfrA17	168	00e99f5e-902c-4842-b464-4cdaa4f98fbb
GyrA	82	00e99f5e-902c-4842-b464-4cdaa4f98fbb
MarR	66	00e99f5e-902c-4842-b464-4cdaa4f98fbb
ParC	97	00e99f5e-902c-4842-b464-4cdaa4f98fbb
ParE	99	00e99f5e-902c-4842-b464-4cdaa4f98fbb
PmrB	91	00e99f5e-902c-4842-b464-4cdaa4f98fbb
Sul1	130	00e99f5e-902c-4842-b464-4cdaa4f98fbb
Sul2	136	00e99f5e-902c-4842-b464-4cdaa4f98fbb
TEM-1	148	00e99f5e-902c-4842-b464-4cdaa4f98fbb
Tet(A)	127	00e99f5e-902c-4842-b464-4cdaa4f98fbb
UhpT	106	00e99f5e-902c-4842-b464-4cdaa4f98fbb
APH(3'')-Ib	127	00f9ff36-dcc6-453b-be28-04a53e482160
APH(6)-Id	143	00f9ff36-dcc6-453b-be28-04a53e482160
