class	allele	guuid	gene
aminoglycoside	1	000774a6-5784-466e-8cb7-caa111dcafc5	AadA2
aminoglycoside	1	01dfd4d8-42df-4370-8d24-eaf99e12df22	AadA2
aminoglycoside	1	02cb1371-8085-46c0-af8d-075dacbdd5a9	AadA2
aminoglycoside	1	0ac35132-54a4-4e6a-9654-bb428864eb2e	AadA2
aminoglycoside	1	1083aa05-2f07-4c22-9184-9c8cdac5e321	AadA2
aminoglycoside	1	138d2644-15f2-430b-9edb-57681d785b88	AadA2
aminoglycoside	1	14051895-1e3c-40aa-b07a-9a600c743253	AadA2
aminoglycoside	1	16d8b1ce-be42-4067-b825-785b289665d2	AadA2
aminoglycoside	1	16f7253f-a448-4d8d-b06d-80eca42a13e4	AadA2
aminoglycoside	1	27d1f6fc-76d4-4f88-9fd6-de1143045af7	AadA2
aminoglycoside	1	289a9298-daae-4275-bfb6-e2c01d3c7e72	AadA2
aminoglycoside	1	2e0a5390-0251-4add-ba6b-ecab76fe6f9f	AadA2
aminoglycoside	1	2e7ae473-5c0e-41de-869f-27c85593e736	AadA2
aminoglycoside	1	324779c2-9596-49ef-9228-055aee19f7cf	AadA2
aminoglycoside	1	363148f7-0109-4750-a165-aed14be03199	AadA2
aminoglycoside	2	385abed5-a3c8-44ba-a59c-7614016b94b4	AadA2
aminoglycoside	1	3f1d2c31-5b0e-46d9-b2bb-5aeab9653814	AadA2
aminoglycoside	1	4b6657bd-48dd-4f63-b19e-c6f7b9607b67	AadA2
aminoglycoside	2	5510c3c5-5101-44b5-a3b6-6ea3c8bf34ba	AadA2
aminoglycoside	1	57788c51-89cc-4e81-8b5b-c3ada388bfcc	AadA2
aminoglycoside	3	58bdbe28-3b75-4806-885c-821106a33096	AadA8
aminoglycoside	1	5a01d517-6ab1-4333-8e59-3dba97d81fc8	AadA2
aminoglycoside	1	5a0dc3aa-7d28-4851-ba06-94e423cf1a3e	AadA2
aminoglycoside	1	5a237f61-7e10-41f2-91da-279fbb0d8b90	AadA2
aminoglycoside	1	5cc1a24e-cd88-4cbd-b6a6-2b14a2bc510f	AadA2
aminoglycoside	1	5db2d789-a371-4091-8882-599978a05c51	AadA2
aminoglycoside	1	5f3226db-ee71-45a8-9412-2d4d100bf44c	AadA2
aminoglycoside	1	6ba12ec2-8eaa-44f2-8a23-512410a1e373	AadA2
aminoglycoside	1	6eb700ae-4213-41e0-bf0b-014811bd3645	AadA2
aminoglycoside	1	77b41f73-362f-4f83-b588-32ab7e808700	AadA2
aminoglycoside	1	7a6cee1a-282d-4b22-87fc-92147a366876	AadA2
aminoglycoside	2	7b147301-33f4-45bc-a668-f6d40c13529e	AadA2
aminoglycoside	1	7e97cd1a-1755-4f2e-a7d4-021f24c59d3e	AadA2
aminoglycoside	1	8188e7b8-d1d3-4366-ae03-890e2fb7795e	AadA2
aminoglycoside	4	8267e001-3729-4219-bcda-f458d7fb41d7	AadA2
aminoglycoside	1	87108ce6-8807-4a3a-b45c-9ea4914770ab	AadA2
aminoglycoside	1	8b27b756-c824-4928-a499-17ed27a98b09	AadA2
aminoglycoside	1	8d41d26a-7a0d-4fe9-bff2-0bca985f0cd2	AadA2
aminoglycoside	1	9471d3b9-00a5-4969-bfe9-e6cd2b4c99a6	AadA2
aminoglycoside	2	9bdba3f4-efd2-44d5-bf9f-756cd016c00a	AadA2
aminoglycoside	1	9e8fee5c-a828-4a2a-a731-d2a1f9867cd8	AadA2
aminoglycoside	4	ERR1218537	AadA2
aminoglycoside	1	ERR1218538	AadA2
aminoglycoside	1	ERR1218540	AadA2
aminoglycoside	5	ERR1218546	AadA2
aminoglycoside	1	ERR1218552	AadA2
aminoglycoside	1	ERR1218554	AadA2
aminoglycoside	4	ERR1218556	AadA2
aminoglycoside	6	ERR1218563	AadA2
aminoglycoside	1	ERR1218564	AadA2
aminoglycoside	1	ERR1218581	AadA2
aminoglycoside	4	ERR1218587	AadA2
aminoglycoside	1	ERR1218599	AadA2
aminoglycoside	1	ERR1218618	AadA2
aminoglycoside	1	ERR1218620	AadA2
aminoglycoside	6	ERR1218630	AadA2
aminoglycoside	6	ERR1218641	AadA2
aminoglycoside	2	ERR1218643	AadA2
aminoglycoside	1	ERR1218644	AadA2
aminoglycoside	1	ERR1218645	AadA2
aminoglycoside	4	ERR1218649	AadA2
aminoglycoside	4	ERR1218650	AadA2
aminoglycoside	1	ERR1218658	AadA2
aminoglycoside	4	ERR1218660	AadA2
aminoglycoside	1	ERR1218661	AadA2
aminoglycoside	1	ERR1218664	AadA2
aminoglycoside	4	ERR1218674	AadA2
aminoglycoside	1	ERR1218676	AadA2
aminoglycoside	1	ERR1218683	AadA2
aminoglycoside	4	ERR1218685	AadA2
aminoglycoside	2	ERR1218690	AadA2
aminoglycoside	7	ERR1218694	AadA2
aminoglycoside	1	ERR1218697	AadA2
aminoglycoside	1	ERR1218698	AadA2
aminoglycoside	6	ERR1218700	AadA2
aminoglycoside	5	ERR1218701	AadA2
aminoglycoside	1	ERR1218702	AadA2
aminoglycoside	2	ERR1218703	AadA2
aminoglycoside	2	ERR1218704	AadA2
aminoglycoside	8	ERR1218707	AadA2
aminoglycoside	9	ERR1218710	AadA15
aminoglycoside	2	ERR1218712	AadA2
aminoglycoside	2	ERR1218713	AadA2
aminoglycoside	4	ERR1218719	AadA2
aminoglycoside	4	ERR1218720	AadA2
aminoglycoside	6	ERR1218721	AadA2
aminoglycoside	3	ERR3062232	AadA8
aminoglycoside	1	ERR3062249	AadA2
aminoglycoside	1	ERR4034096	AadA2
aminoglycoside	1	ERR4034104	AadA2
aminoglycoside	1	ERR4034107	AadA2
aminoglycoside	1	ERR4034201	AadA2
aminoglycoside	1	ERR4034222	AadA2
aminoglycoside	1	ERR4034319	AadA2
aminoglycoside	2	ERR4034465	AadA2
aminoglycoside	2	ERR4034569	AadA2
aminoglycoside	1	ERR4034585	AadA2
